Observatory,Data_year,agglomeration,Zone_complementaire,Type_habitat,epoque_construction_homogene,anciennete_locataire_homogene,nombre_pieces_homogene,loyer_1_decile,loyer_1_quartile,loyer_median,loyer_3_quartile,loyer_9_decile,loyer_moyen,loyer_mensuel_1_decile,loyer_mensuel_1_quartile,loyer_mensuel_median,loyer_mensuel_3_quartile,loyer_mensuel_9_decile,moyenne_loyer_mensuel,surface_moyenne,nombre_observations,nombre_logements,methodologie_production
B1300,2022,Agglom�ration d'Aix-Marseille,,,5. Apr�s 2005,2. 1 an et plus,,10.5,11.8,13.6,15.2,16.3,13.1,500,600,717,905,1263,794,61,4868,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,5. Apr�s 2005,2. 1 an et plus,Maison 1-3P,,,,,,,,,,,,,,37,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,5. Apr�s 2005,2. 1 an et plus,Maison 4P+,8.7,11.5,13.3,15.4,15.9,13,1046,1168,1300,1500,1700,1326,102,90,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,5. Apr�s 2005,2. 1 an et plus,Appart 1P,12.9,14.3,15.4,16.8,18.5,15.5,355,400,453,508,570,455,29,424,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,5. Apr�s 2005,2. 1 an et plus,Appart 2P,11.6,13.3,14.6,15.7,17.1,14.4,496,560,610,670,707,609,42,2017,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,5. Apr�s 2005,2. 1 an et plus,Appart 3P,10.5,11.5,12.5,13.6,14.4,12.4,641,707,792,848,915,783,63,1938,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,5. Apr�s 2005,2. 1 an et plus,Appart 4P+,8.8,10.4,11.6,12.7,14.4,11.4,720,859,980,1047,1193,976,86,362,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,Maison,,,,8.6,10.5,12,14.9,16.9,12.1,630,786,1000,1300,1522,1105,92,1100,31435,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,Maison,,,Maison 1-3P,9.7,10.9,12.7,15.5,17.6,13.1,600,673,798,950,1200,828,63,445,14886,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,Maison,,,Maison 4P+,7.5,10,11.5,14.1,16.4,11.6,850,1000,1205,1490,1700,1305,112,655,16549,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,Maison,,1. Moins de 1 an,,9.6,10.8,14,17,21.4,15.6,630,720,881,1400,1700,1198,77,204,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,Maison,,1. Moins de 1 an,Maison 1-3P,10.6,12,14.7,17.3,21.4,14.4,630,670,800,900,1200,841,58,97,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,Maison,,1. Moins de 1 an,Maison 4P+,8.1,10.6,13.4,16.3,20,16.6,850,1100,1450,1700,2150,1742,105,107,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,Maison,,2. 1 an et plus,,8.6,10.2,11.9,14.1,16.3,11.3,620,800,1001,1284,1500,1080,96,896,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,Maison,,2. 1 an et plus,Maison 1-3P,9.6,10.9,12.5,14.6,16.3,12.7,600,688,778,950,1100,822,65,348,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,Maison,,2. 1 an et plus,Maison 4P+,7.3,10,11.3,13.7,15.6,10.9,860,1000,1200,1400,1642,1233,114,548,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,Maison,1. Avant 1946,,,8.1,10.2,11.7,14.1,16.3,10.6,600,720,850,1057,1300,930,88,374,7295,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,Maison,1. Avant 1946,,Maison 1-3P,9.6,10.9,12.7,14.9,17.2,12.8,600,633,775,850,985,796,62,201,4471,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,Maison,1. Avant 1946,,Maison 4P+,4.9,8.6,10.6,11.7,14.9,9,633,1000,1031,1240,1500,1114,123,173,2825,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,Maison,1. Avant 1946,1. Moins de 1 an,,8.1,10.6,12.7,14.9,17.3,12.4,630,780,850,950,1100,886,71,65,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,Maison,1. Avant 1946,2. 1 an et plus,,7.5,10,11.1,13.3,16.2,10.1,576,710,877,1135,1335,943,93,309,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,Maison,2. Entre 1946-1970,,,9.3,10.7,12.3,15.1,19,11.7,650,750,950,1200,1500,973,83,188,7606,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,Maison,2. Entre 1946-1970,,Maison 1-3P,10,10.8,12.5,15.5,19,13.1,578,680,750,950,1000,803,61,99,4028,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,Maison,2. Entre 1946-1970,,Maison 4P+,6.3,8.4,11.1,13.8,16.9,10.5,950,1000,1300,1500,1522,1279,122,89,3578,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,Maison,2. Entre 1946-1970,1. Moins de 1 an,,,,,,,,,,,,,,,36,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,Maison,2. Entre 1946-1970,2. 1 an et plus,,6.8,10.2,11.8,13.4,16.1,11,700,750,953,1250,1500,1024,93,152,,Estimation directe
